-0.0025,0.0055,-0.1271,-0.0076,0.0008,-0.0463,0.0038
-0.0051,0.0092,-0.3999,-0.0681,0.0031,-0.1957,0.0074
-0.0104,0.0095,-4.0168,0.2741,0.0191,-1.3971,0.1109
-0.0137,0.0164,0.3354,-0.0057,0.0027,-0.7073,0.1356
-0.0907,0.0459,6.8762,-1.5693,0.0000,-10.1587,1.9235
-0.0644,0.0535,-10.2910,-1.1861,0.0162,-6.2809,1.2842
0.1789,0.0235,-1.7506,-0.3538,-0.0002,-0.5968,0.1042
0.0324,0.0136,-0.4169,-0.0918,-0.0007,-0.1689,0.0247
0.0121,0.0084,-0.1484,-0.0255,-0.0003,-0.0537,0.0088
0.0055,0.0053,-0.0722,-0.0087,-0.0001,-0.0194,0.0038
