-0.0036,0.0055,-0.1271,-0.0077,0.0008,-0.0463,0.0038
-0.0052,0.0070,-0.1958,-0.0244,0.0015,-0.0867,0.0053
-0.0075,0.0089,-0.3686,-0.0625,0.0029,-0.1802,0.0074
-0.0110,0.0112,-0.9600,-0.1231,0.0066,-0.4359,0.0098
-0.0126,0.0109,-3.1471,0.0656,0.0162,-1.1532,0.0603
-0.0066,0.0047,-4.5875,1.2270,0.0178,-1.4911,0.3028
-0.0239,0.0132,-0.2901,0.3681,0.0038,-0.6625,0.1357
-0.0578,0.0228,1.0835,-0.6197,0.0020,-1.1991,0.2193
-0.1565,0.0369,3.4281,-1.3135,0.0007,-4.2626,0.7724
-0.4704,0.0363,11.9493,-2.9622,0.0107,-45.3832,11.0955
16.5701,1.2798,1318.2366,367.0118,0.9613,-606.3085,1041.2084
0.1842,0.0434,-6.9674,-0.9127,0.0081,-2.8306,0.5830
0.0738,0.0291,-2.9665,-0.5250,0.0013,-0.9566,0.1851
0.0387,0.0214,-1.3606,-0.2877,-0.0005,-0.4828,0.0801
0.0231,0.0164,-0.6736,-0.1512,-0.0008,-0.2640,0.0397
0.0148,0.0129,-0.3650,-0.0792,-0.0007,-0.1480,0.0217
0.0100,0.0103,-0.2201,-0.0432,-0.0005,-0.0863,0.0131
0.0069,0.0082,-0.1424,-0.0241,-0.0003,-0.0510,0.0085
0.0049,0.0066,-0.0988,-0.0141,-0.0002,-0.0310,0.0057
0.0035,0.0053,-0.0722,-0.0088,-0.0001,-0.0194,0.0037
