-0.0036,0.0055,-0.1271,-0.0077,0.0008,-0.0463,0.0040
-0.0079,0.0092,-0.3999,-0.0681,0.0031,-0.1957,0.0074
-0.0114,0.0095,-4.0167,0.2742,0.0191,-1.3970,0.1108
-0.0328,0.0164,0.3354,-0.0058,0.0027,-0.7074,0.1352
-0.2752,0.0459,6.8763,-1.5692,0.0000,-10.1581,1.9228
0.3208,0.0535,-10.2914,-1.1860,0.0162,-6.2805,1.2792
0.0470,0.0235,-1.7506,-0.3539,-0.0002,-0.5968,0.1042
0.0163,0.0136,-0.4169,-0.0918,-0.0007,-0.1688,0.0247
0.0072,0.0084,-0.1484,-0.0255,-0.0003,-0.0537,0.0088
0.0035,0.0053,-0.0722,-0.0087,-0.0001,-0.0194,0.0041
