 (2.3313-0.6932j), (nan+nanj), (0.2785+0.1757j), (nan+nanj), (-0.0478+0.0294j)
 (2.3371-0.6874j), (nan+nanj), (0.2791+0.1734j), (nan+nanj), (-0.0478+0.0290j)
 (2.3430-0.6826j), (nan+nanj), (0.2799+0.1714j), (nan+nanj), (-0.0478+0.0286j)
 (2.3488-0.6789j), (nan+nanj), (0.2809+0.1698j), (nan+nanj), (-0.0477+0.0282j)
 (2.3545-0.6762j), (nan+nanj), (0.2821+0.1685j), (nan+nanj), (-0.0475+0.0279j)
 (2.3600-0.6747j), (nan+nanj), (0.2834+0.1675j), (nan+nanj), (-0.0473+0.0276j)
 (2.3652-0.6744j), (nan+nanj), (0.2848+0.1669j), (nan+nanj), (-0.0471+0.0273j)
 (2.3700-0.6753j), (nan+nanj), (0.2863+0.1666j), (nan+nanj), (-0.0468+0.0270j)
 (2.3744-0.6773j), (nan+nanj), (0.2879+0.1667j), (nan+nanj), (-0.0465+0.0269j)
 (2.3782-0.6804j), (nan+nanj), (0.2895+0.1672j), (nan+nanj), (-0.0462+0.0267j)
 (2.3815-0.6846j), (nan+nanj), (0.2911+0.1679j), (nan+nanj), (-0.0458+0.0266j)
 (2.3842-0.6897j), (nan+nanj), (0.2927+0.1690j), (nan+nanj), (-0.0455+0.0266j)
 (2.3861-0.6957j), (nan+nanj), (0.2942+0.1704j), (nan+nanj), (-0.0452+0.0265j)
 (2.3874-0.7025j), (nan+nanj), (0.2957+0.1720j), (nan+nanj), (-0.0448+0.0266j)
 (2.3879-0.7099j), (nan+nanj), (0.2972+0.1738j), (nan+nanj), (-0.0445+0.0267j)
 (2.3877-0.7179j), (nan+nanj), (0.2986+0.1759j), (nan+nanj), (-0.0442+0.0268j)
 (2.3867-0.7262j), (nan+nanj), (0.2998+0.1782j), (nan+nanj), (-0.0438+0.0269j)
 (2.3850-0.7349j), (nan+nanj), (0.3010+0.1806j), (nan+nanj), (-0.0435+0.0271j)
 (2.3825-0.7436j), (nan+nanj), (0.3020+0.1831j), (nan+nanj), (-0.0433+0.0273j)
 (2.3794-0.7524j), (nan+nanj), (0.3029+0.1858j), (nan+nanj), (-0.0430+0.0276j)
